序号,单位名称,合计项数,合计金额,数理科学部项数,数理科学部金额,化学科学部项数,化学科学部金额,生命科学部项数,生命科学部金额,地球科学部项数,地球科学部金额,工程与材料科学部项数,工程与材料科学部金额,信息科学部项数,信息科学部金额,管理科学部项数,管理科学部金额,医学科学部项数,医学科学部金额,科学学科项数,科学学科金额,工程管理学科项数,工程管理学科金额
1,上海交通大学,527,30665.07,41,2473,25,1636.5,54,3178,7,433,69,4113,32,1942,12,577,287,16312.57,414,24033.07,113,6632
2,浙江大学,485,28535.5,27,1589,49,3202,104,6087,25,1536.5,82,4939,27,1655,20,955,151,8572,356,20986.5,129,7549
3,中山大学,419,24406.4,26,1561,24,1558.9,43,2488,38,2365.5,22,1328,18,1152,17,822,231,13131,362,21104.4,57,3302
4,复旦大学,383,22074.5,35,2056,34,2228,44,2618,10,616,12,724,19,1150,17,822,212,11860.5,335,19378.5,48,2696
5,华中科技大学,356,20799.93,31,1934,25,1639.9,23,1283,3,186,58,3501,47,2827,11,530.6,158,8898.43,240,13941.33,116,6858.6
6,北京大学,327,19026.1,26,1623,29,1891,47,2773,30,1922,8,487,28,1628,17,819.1,142,7883,274,16092,53,2934.1
7,同济大学,294,17175,30,1828,18,1167,30,1749,27,1680.5,80,4802,10,570,14,675,85,4703.5,190,11128,104,6047
8,中南大学,269,15510.5,10,583,11,713,6,358,15,936.5,56,3368,21,1271,19,921,131,7360,173,9950.5,96,5560
9,清华大学,254,15426,36,2237,34,2225,22,1313,8,489,68,4118,47,3029,25,1199,14,816,114,7080,140,8346
10,四川大学,259,15118.8,19,1110,33,2153,27,1578,3,184,48,2878,11,689,11,526.8,107,6000,189,11025,70,4093.8
11,武汉大学,256,14974,22,1313,21,1367,29,1733,39,2373,40,2400,22,1336,24,1163,59,3289,170,10075,86,4899
12,南京大学,229,13749.5,38,2293,42,2750,17,1010,47,2922.5,15,901,18,1138,17,818,35,1917,179,10892.5,50,2857
13,西安交通大学,228,13368.5,32,1970,14,914,10,595,7,428.5,72,4346,21,1220,12,576,60,3319,123,7226.5,105,6142
14,山东大学,225,13159.2,18,1045,24,1566.2,28,1682,6,371,50,2983,15,866,7,335,77,4311,153,8975.2,72,4184
15,哈尔滨工业大学,204,12260,22,1323,14,902,7,417,5,316,102,6141,47,2815,6,289,1,57,49,3015,155,9245
16,天津大学,192,11588.5,21,1258,32,2095,7,425,4,242.5,74,4472,35,2118,13,633,6,345,70,4365.5,122,7223
17,吉林大学,193,11559,23,1376,24,1564,26,1540,27,1730,32,1909,20,1174,7,336,34,1930,134,8140,59,3419
18,大连理工大学,181,10850,29,1735,39,2525,9,543,1,65,63,3812,26,1463,11,532,3,175,81,5043,100,5807
19,中国科学技术大学,175,10809.5,45,2836,31,2034.5,21,1230,23,1474,18,1087,18,1135,8,388,11,625,131,8199.5,44,2610
20,厦门大学,173,10249,13,743,29,1899,25,1492,17,1049,9,542,21,1340,20,963,39,2221,123,7404,50,2845
21,东南大学,173,10034,13,750,8,516,4,239,4,246,60,3577,41,2445,13,621,30,1640,59,3391,114,6643
22,北京航空航天大学,163,9884,41,2445,11,723,2,122,7,440,46,2782,44,2756,9,432,3,184,64,3914,99,5970
23,苏州大学,165,9606,11,647,23,1501,20,1157,0,0,22,1320,17,1024,5,242,67,3715,121,7020,44,2586
24,华南理工大学,157,9342,7,396,32,2080,15,823,1,61,59,3547,28,1715,7,338,8,382,63,3742,94,5600
25,南开大学,150,8973.9,27,1518,37,2417.9,31,1810,2,123,10,607,16,1021,7,332,20,1145,117,7013.9,33,1960
26,华中农业大学,133,7841.5,0,0,2,131,108,6393,13,795.5,3,180,0,0,6,285,1,57,124,7376.5,9,465
27,南京医科大学,138,7709.3,0,0,1,64,10,593,0,0,0,0,0,0,3,144.3,124,6908,135,7565,3,144.3
28,南方医科大学,134,7569,0,0,2,127,8,441,0,0,0,0,1,63,1,49,122,6889,132,7457,2,112
29,西北工业大学,122,7266,27,1646,6,392,2,120,0,0,56,3363,26,1494,4,194,1,57,36,2215,86,5051
30,重庆大学,120,7207,14,848,8,518,4,237,1,62,73,4378,9,573,4,192,7,399,34,2064,86,5143
31,首都医科大学,122,6795,0,0,0,0,4,241,0,0,0,0,3,196,1,48,114,6310,118,6551,4,244
32,湖南大学,112,6779.8,7,388,18,1176.8,5,299,0,0,56,3383,19,1198,7,335,0,0,30,1863.8,82,4916
33,南京农业大学,116,6758,0,0,3,197,99,5764,9,549,0,0,0,0,4,191,1,57,112,6567,4,191
34,北京理工大学,109,6593,30,1878,19,1240,2,122,1,62,15,885,31,1857,9,433,2,116,54,3418,55,3175
35,电子科技大学,113,6574,5,297,1,66,1,59,4,241,12,723,76,4492,7,337,7,359,18,1022,95,5552
36,兰州大学,105,6283.5,20,1225,17,1109.5,24,1403,28,1657,3,180,2,127,1,50,10,532,99,5926.5,6,357
37,华东师范大学,101,6022.5,26,1479,17,1108,14,799,22,1317.5,3,179,13,783,1,46,5,311,84,5014.5,17,1008
38,中国农业大学,102,5986,0,0,4,258,81,4762,7,421,5,296,2,82,2,87,1,80,93,5521,9,465
39,北京科技大学,99,5960,9,556,5,322,2,120,1,66,63,3789,13,815,6,292,0,0,17,1064,82,4896
40,西北农林科技大学,100,5928.5,0,0,5,329,62,3671,15,916.5,7,427,1,62,8,383,2,140,84,5056.5,16,872
41,北京师范大学,100,5842,17,969,13,849,16,960,28,1694,9,540,4,220,11,528,2,82,76,4554,24,1288
42,东北大学,95,5703.5,2,123,7,456,4,238,5,292.5,50,3012,20,1236,6,290,1,56,19,1165.5,76,4538
43,深圳大学,97,5615,8,444,4,262,14,771,3,180,14,830,32,1986,4,192,18,950,47,2607,50,3008
44,中国地质大学（武汉）,89,5505,1,62,6,390,0,0,67,4188,6,359,5,314,4,192,0,0,74,4640,15,865
45,华东理工大学,87,5393,7,409,48,3103,6,364,3,185,10,605,5,315,5,242,3,170,67,4231,20,1162
46,暨南大学,91,5324,5,301,9,593,9,534,12,730,4,240,8,492,8,379,36,2055,71,4213,20,1111
47,合肥工业大学,87,5210.5,7,414,9,588.5,2,119,9,586,37,2219,13,804,10,480,0,0,27,1707.5,60,3503
48,郑州大学,91,5188,5,297,6,393,5,263,0,0,18,1085,6,375,1,50,50,2725,66,3678,25,1510
49,中国人民解放军第二军医大学,92,5154,0,0,0,0,13,737,1,62,0,0,0,0,0,0,78,4355,92,5154,0,0
50,上海大学,89,5104.5,24,1413,6,376,5,251,8,492.5,20,1198,18,979,6,281,2,114,45,2646.5,44,2458
51,中国人民解放军第四军医大学,91,5087,0,0,0,0,6,357,0,0,1,56,1,16,0,0,83,4658,89,5015,2,72
52,中国人民解放军第三军医大学,88,5037,0,0,0,0,12,686,1,62,0,0,0,0,0,0,75,4289,88,5037,0,0
53,中国海洋大学,81,4917,4,220,2,131,19,1125,38,2366,9,555,3,190,2,98,4,232,67,4074,14,843
54,哈尔滨医科大学,87,4806,0,0,0,0,4,239,0,0,1,59,2,130,3,144,77,4234,81,4473,6,333
55,江苏大学,78,4724,9,558,13,848,7,419,0,0,32,1928,4,252,3,147,10,572,39,2397,39,2327
56,天津医科大学,83,4722,0,0,3,198,13,779,0,0,0,0,1,58,0,0,66,3687,82,4664,1,58
57,中国矿业大学,79,4651,1,60,1,65,1,59,12,764,49,2937,6,333,9,433,0,0,15,948,64,3703
58,河海大学,78,4615,7,441,1,65,1,60,16,939,46,2761,4,205,3,144,0,0,25,1505,53,3110
59,华南农业大学,78,4533,0,0,1,62,60,3513,11,663,2,120,2,80,2,95,0,0,72,4238,6,295
60,扬州大学,78,4517,5,257,3,196,49,2808,3,184,6,361,5,313,0,0,7,398,67,3843,11,674
61,上海中医药大学,77,4334,0,0,1,66,0,0,0,0,0,0,0,0,0,0,76,4268,77,4334,0,0
62,广州医科大学,74,4198,0,0,1,65,6,356,0,0,0,0,0,0,0,0,67,3777,74,4198,0,0
63,南京航空航天大学,72,4196,16,992,1,65,0,0,0,0,31,1851,20,1096,4,192,0,0,17,1057,55,3139
64,中国科学院上海生命科学研究院,70,4101.5,1,52,0,0,56,3330,1,62,0,0,0,0,0,0,12,657.5,70,4101.5,0,0
65,西南交通大学,67,4024,4,252,0,0,3,177,8,481,34,2048,13,815,4,194,1,57,16,967,51,3057
66,西南大学,70,4001,7,388,2,130,40,2321,6,368,1,60,9,499,2,96,3,139,58,3346,12,655
67,西安电子科技大学,64,3822,3,176,0,0,1,25,0,0,2,125,53,3228,2,97,3,171,7,372,57,3450
68,北京交通大学,60,3538,6,358,0,0,0,0,0,0,17,1021,27,1674,10,485,0,0,6,358,54,3180
69,浙江工业大学,58,3524,3,154,14,923,3,177,2,122,17,1014,13,818,3,144,3,172,25,1548,33,1976
70,陕西师范大学,58,3510,11,636,14,918,12,716,8,481,4,240,6,348,0,0,3,171,48,2922,10,588
71,中国人民解放军国防科技大学,57,3487,16,1008,1,53,1,59,8,487,5,299,24,1482,2,99,0,0,26,1607,31,1880
72,北京工业大学,57,3471.5,14,855,9,589,0,0,2,118.5,19,1142,12,710,0,0,1,57,26,1619.5,31,1852
73,北京化工大学,55,3466,0,0,27,1763,2,118,2,124,19,1146,4,258,0,0,1,57,32,2062,23,1404
74,南京理工大学,57,3458,7,406,7,458,1,60,0,0,12,723,27,1662,3,149,0,0,15,924,42,2534
75,重庆医科大学,61,3444,1,63,0,0,3,178,0,0,0,0,0,0,0,0,57,3203,61,3444,0,0
76,中国科学院合肥物质科学研究院,56,3426,20,1290,7,459,2,119,7,398,8,483,6,335,0,0,6,342,42,2608,14,818
77,南京工业大学,55,3426,0,0,24,1558,1,59,4,246,22,1323,3,191,1,49,0,0,29,1863,26,1563
78,福州大学,55,3367.5,4,221,21,1374,1,60,4,242.5,15,901,6,368,3,144,1,57,31,1954.5,24,1413
79,武汉理工大学,56,3344,2,101,8,523,0,0,1,63,37,2206,4,249,3,146,1,56,12,743,44,2601
80,哈尔滨工程大学,55,3282,7,437,4,263,0,0,3,189,29,1730,9,518,3,145,0,0,14,889,41,2393
81,中国医科大学,58,3265,0,0,0,0,2,119,0,0,1,60,0,0,0,0,55,3086,57,3205,1,60
82,青岛大学,56,3254,4,218,2,129,7,418,1,62,10,598,4,260,0,0,28,1569,42,2396,14,858
83,北京林业大学,54,3215.5,0,0,1,65,40,2389,5,304.5,6,361,0,0,2,96,0,0,46,2758.5,8,457
84,中国石油大学（华东）,52,3190,1,55,8,519,2,118,12,771,23,1378,4,253,2,96,0,0,23,1463,29,1727
85,广州大学,53,3189.5,9,507,8,518,3,181,10,609.5,11,657,11,669,1,48,0,0,30,1815.5,23,1374
86,江南大学,53,3184,0,0,12,786,25,1459,0,0,4,234,6,379,2,94,4,232,41,2477,12,707
87,华南师范大学,53,3103.5,11,649,4,261,14,841,11,658.5,1,60,10,517,0,0,2,117,42,2526.5,11,577
88,西北大学,50,3036,8,459,11,716,11,657,9,561,3,179,4,239,0,0,4,225,43,2618,7,418
89,中国石油大学（北京）,49,3026,3,189,7,459,0,0,15,977,21,1257,0,0,3,144,0,0,25,1625,24,1401
90,中国药科大学,53,3015,0,0,4,261,3,183,0,0,0,0,0,0,1,42,45,2529,52,2973,1,42
91,温州医科大学,52,2912,0,0,1,63,7,408,0,0,0,0,2,79,0,0,42,2362,50,2833,2,79
92,山东农业大学,49,2892,0,0,0,0,45,2652,1,62,2,121,0,0,0,0,1,57,47,2771,2,121
93,宁波大学,49,2840,7,428,4,261,7,368,3,187,7,419,13,783,3,143,5,251,26,1495,23,1345
94,中国地质大学（北京）,44,2830,0,0,3,194,0,0,36,2330,4,246,1,60,0,0,0,0,39,2524,5,306
95,东北师范大学,47,2823,9,510,11,723,13,739,8,484,4,241,2,126,0,0,0,0,41,2456,6,367
96,北京邮电大学,48,2822,4,217,0,0,0,0,0,0,2,120,39,2341,3,144,0,0,4,217,44,2605
97,南京中医药大学,50,2818,0,0,1,65,0,0,0,0,0,0,0,0,0,0,49,2753,50,2818,0,0
98,南方科技大学,47,2818,13,769,7,451,8,475,6,380,2,120,8,448,0,0,3,175,37,2250,10,568
99,中国科学院化学研究所,43,2809,0,0,37,2435,0,0,0,0,5,308,1,66,0,0,0,0,37,2435,6,374
100,广东工业大学,48,2803,5,292,4,262,1,25,2,123,14,839,14,869,7,337,1,56,13,758,35,2045
101,中国科学院大连化学物理研究所,44,2795.5,0,0,39,2540.5,1,62,0,0,2,120,1,16,0,0,1,57,41,2659.5,3,136
102,南京师范大学,47,2781,7,398,5,327,12,715,14,829,2,114,2,125,2,99,3,174,41,2443,6,338
103,中国科学院生态环境研究中心,45,2774.5,0,0,17,1109,3,178,16,970.5,7,420,0,0,2,97,0,0,36,2257.5,9,517
104,南京信息工程大学,44,2711.5,0,0,1,65,1,60,32,1994.5,1,60,8,489,1,43,0,0,34,2119.5,10,592
105,福建农林大学,46,2662,0,0,0,0,40,2312,3,183,2,120,0,0,1,47,0,0,43,2495,3,167
106,中国科学院大气物理研究所,42,2596,0,0,0,0,0,0,42,2596,0,0,0,0,0,0,0,0,42,2596,0,0
107,华中师范大学,46,2578.5,14,782,8,525,8,443,1,57.5,1,60,10,520,4,191,0,0,31,1807.5,15,771
108,中国科学院海洋研究所,41,2531,0,0,0,0,11,658,29,1816,0,0,0,0,0,0,1,57,41,2531,0,0
109,中国科学院物理研究所,39,2475,29,1858,1,66,0,0,0,0,7,424,2,127,0,0,0,0,30,1924,9,551
110,安徽医科大学,44,2464,0,0,0,0,1,60,0,0,0,0,0,0,1,48,42,2356,43,2416,1,48
111,中国科学院过程工程研究所,38,2439,1,66,29,1897,2,118,0,0,6,358,0,0,0,0,0,0,32,2081,6,358
112,中国科学院长春应用化学研究所,38,2406,0,0,24,1563,0,0,0,0,12,727,0,0,0,0,2,116,26,1679,12,727
113,广州中医药大学,42,2393,0,0,0,0,0,0,0,0,0,0,1,60,0,0,41,2333,41,2333,1,60
114,太原理工大学,39,2381,5,316,13,851,2,88,2,127,11,662,6,337,0,0,0,0,22,1382,17,999
115,长安大学,39,2362,0,0,0,0,1,59,21,1320,13,778,1,63,3,142,0,0,22,1379,17,983
116,四川农业大学,38,2269,0,0,0,0,36,2144,2,125,0,0,0,0,0,0,0,0,38,2269,0,0
117,北京中医药大学,41,2264,0,0,0,0,1,59,0,0,0,0,0,0,0,0,40,2205,41,2264,0,0
118,安徽大学,39,2260,7,393,5,325,6,358,2,82,6,360,11,645,2,97,0,0,20,1158,19,1102
119,南通大学,41,2257,0,0,1,63,7,383,1,62,1,55,3,161,0,0,28,1533,37,2041,4,216
120,山西大学,38,2253.5,10,588,5,325,6,355,3,177.5,2,121,10,582,1,48,1,57,25,1502.5,13,751
121,中国科学院大学,39,2245,9,508,2,129,4,235,7,439,4,237,4,253,8,387,1,57,23,1368,16,877
122,中国科学院地理科学与资源研究所,37,2191.5,0,0,0,0,4,239,32,1903.5,0,0,0,0,1,49,0,0,36,2142.5,1,49
123,中国科学院植物研究所,37,2185,0,0,0,0,33,1940,4,245,0,0,0,0,0,0,0,0,37,2185,0,0
124,南京邮电大学,38,2171.5,0,0,1,65,0,0,0,0,1,60,33,1907,3,139.5,0,0,1,65,37,2106.5
125,杭州电子科技大学,37,2130,4,237,1,66,0,0,0,0,5,306,25,1424,2,97,0,0,5,303,32,1827
126,中国科学院地质与地球物理研究所,33,2099,0,0,0,0,0,0,33,2099,0,0,0,0,0,0,0,0,33,2099,0,0
127,中国科学院高能物理研究所,32,2087,30,1957,2,130,0,0,0,0,0,0,0,0,0,0,0,0,32,2087,0,0
128,西安建筑科技大学,35,2061,1,63,0,0,0,0,1,62,28,1683,1,60,4,193,0,0,2,125,33,1936
129,首都师范大学,35,2040.5,9,470,3,195,8,476,3,180.5,0,0,10,613,1,49,1,57,24,1378.5,11,662
130,东北林业大学,35,2022,0,0,1,66,28,1597,3,186,2,120,0,0,0,0,1,53,33,1902,2,120
131,中国人民解放军军事科学院军事医学研究院,36,2013,0,0,1,67,12,712,0,0,0,0,2,130,1,48,20,1056,33,1835,3,178
